LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Cпоживчий кредит без довiдки про доходи;20746,89;Харківська область;Чоловік;Одружений (-на);25;Середня - технічна;с/господарство;20000;3;Так;Самозайнята особа;364;рыбы;Свинья;46; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16816,14;Харківська область;Чоловік;Одружений (-на);31;Середня - технічна;інша;8000;1;Ні;Офіційно працевлаштований;1095;козерог;Тигр;54; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;23706,9;Миколаївська область;Чоловік;Одружений (-на);15;Вища освіта;торгівля та послуги;15000;8;Так;Офіційно працевлаштований;729;лев;Дракон;41; була зміна місця роботи;має власну нерухомість;має власний автомобіль;есть прострочка
Cпоживчий кредит без довiдки про доходи;8620,69;Запорізька область;Чоловік;Розлучений (-на);27;Середня - технічна;виробництво;4500;10;Так;Офіційно працевлаштований;729;стрелец;Обезьяна;48; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;15560,17;Харків;Жінка;Неодружений(-на);4;Вища освіта;торгівля та послуги;6000;1;Так;Офіційно працевлаштований;364;рыбы;Коза;26; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Споживчий кредит з довiдкою про доходи;95291,48;Харків;Жінка;Одружений (-на);40;Вища освіта;державна служба;12000;2;Так;Офіційно працевлаштований;1095;телец;Свинья;58; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16163,79;Харківська область;Жінка;Неодружений(-на);11;Незакінчена вища;інша;7000;2;Так;Офіційно працевлаштований;548;козерог;Бык;32; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Полтавська область;Жінка;Одружений (-на);10;Середня;торгівля та послуги;10000;3;Так;Офіційно працевлаштований;1095;рыбы;Дракон;29; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;6224,07;Харків;Чоловік;Одружений (-на);35;Середня;інша;2473;1;Ні;Працює не офіційно;364;близнецы;Тигр;67; не змінювалось місце роботи;має власну нерухомість;не має власного;нет прострочки
"Споживчий кредит ""Лояльний""";25933,61;Чернігівська область;Чоловік;Одружений (-на);25;Середня - технічна;торгівля та послуги;35000;15;Так;Офіційно працевлаштований;270;рыбы;Крыса;45; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;3112,03;Житомирська область;Жінка;Одружений (-на);2;Середня - технічна;державна служба;8400;2;Ні;Офіційно працевлаштований;91;телец;Тигр;31; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;12931,03;Харків;Жінка;Одружений (-на);10;Вища освіта;торгівля та послуги;10000;5;Так;Офіційно працевлаштований;729;овен;Коза;38; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;10373,44;Харківська область;Жінка;Одружений (-на);35;Середня - технічна;інша;6300;2;Так;Офіційно працевлаштований;364;овен;Крыса;57; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;22421,52;Миколаївська область;Жінка;Неодружений(-на);44;Вища освіта;інша;5500;3;Так;Не працює;1095;рак;Змея;64; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;3112,03;Харків;Жінка;Неодружений(-на);15;Середня - технічна;державна служба;2786;5;Ні;Офіційно працевлаштований;182;рыбы;Собака;47; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Кіровоградська область;Чоловік;Неодружений(-на);12;Вища освіта;державна служба;10000;3;Так;Офіційно працевлаштований;1095;дева;Свинья;34; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;15695,07;Дніпропетровська область;Жінка;Одружений (-на);20;Незакінчена вища;торгівля та послуги;7500;8;Ні;Офіційно працевлаштований;1095;лев;Лошадь;39; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10775,86;Миколаївська область;Чоловік;Неодружений(-на);15;Середня;торгівля та послуги;7000;13;Так;Офіційно працевлаштований;729;дева;Петух;47; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;10775,86;Черкаська область;Жінка;Одружений (-на);15;Середня - технічна;торгівля та послуги;6000;1;Так;Офіційно працевлаштований;729;рыбы;Дракон;41; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
"Споживчий кредит ""Лояльний""";96412,56;Київ;Жінка;Неодружений(-на);42;Вища освіта;торгівля та послуги;11656,33;2;Ні;Офіційно працевлаштований;1095;весы;Собака;58; була зміна місця роботи;має власну нерухомість;має власний автомобіль;нет прострочки
Cпоживчий кредит без довiдки про доходи;1037,34;Харківська область;Жінка;Одружений (-на);5;Середня - технічна;інша;2300;0;Ні;Офіційно працевлаштований;364;весы;Обезьяна;24; не змінювалось місце роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Сумська область;Чоловік;Одружений (-на);11;Середня - технічна;виробництво;8100;1;Так;Офіційно працевлаштований;1095;рак;Дракон;29; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5705,39;Кіровоградська область;Жінка;Неодружений(-на);3;Вища освіта;торгівля та послуги;6000;2;Так;Офіційно працевлаштований;364;водолей;Петух;24; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Споживчий кредит з довiдкою про доходи;37383,18;Харківська область;Жінка;Одружений (-на);20;Середня;торгівля та послуги;7909,5;2;Так;ФОП;1459;дева;Коза;37; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;13452,91;Кіровоградська область;Чоловік;Одружений (-на);15;Вища освіта;інша;8000;5;Так;Офіційно працевлаштований;1095;лев;Змея;40; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;15560,17;Харків;Чоловік;Неодружений(-на);14;Вища освіта;торгівля та послуги;21900;5;Ні;ФОП;364;рак;Свинья;34; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;2155,17;Харківська область;Жінка;Розлучений (-на);29;Незакінчена середня;державна служба;1800;1;Ні;Не працює;729;телец;Лошадь;63; не змінювалось місце роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;22421,52;Миколаївська область;Жінка;Неодружений(-на);3;Незакінчена вища;інша;5800;3;Так;Офіційно працевлаштований;1095;весы;Змея;27; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;20746,89;Харківська область;Жінка;Одружений (-на);25;Вища освіта;інша;13500;1;Ні;Офіційно працевлаштований;364;овен;Собака;47; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;1616,38;Полтавська область;Жінка;Неодружений(-на);30;Середня - технічна;торгівля та послуги;4000;2;Ні;Офіційно працевлаштований;547;дева;Крыса;56; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Дніпропетровська область;Чоловік;Неодружений(-на);21;Вища освіта;інша;10200;1;Так;Офіційно працевлаштований;1095;рак;Тигр;43; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;11210,76;Київ;Жінка;Вдова (-ець);30;Середня - технічна;торгівля та послуги;8500;10;Так;Офіційно працевлаштований;1095;водолей;Кролик;54; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
"Споживчий кредит ""Лояльний""";21551,72;Полтавська область;Жінка;Неодружений(-на);28;Середня - технічна;інша;7500;3;Так;Офіційно працевлаштований;729;овен;Собака;47; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Споживчий кредит з довiдкою про доходи;50448,43;Житомирська область;Чоловік;Неодружений(-на);2;Середня - технічна;торгівля та послуги;7781,66;1;Ні;Офіційно працевлаштований;1095;стрелец;Петух;23; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;10775,86;Харків;Чоловік;Одружений (-на);2;Середня;виробництво;8000;3;Так;Офіційно працевлаштований;729;лев;Свинья;22; не змінювалось місце роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;28026,91;Київ;Жінка;Розлучений (-на);25;Середня - технічна;торгівля та послуги;28000;14;Так;Офіційно працевлаштований;1095;овен;Змея;64; була зміна місця роботи;має власну нерухомість;має власний автомобіль;есть прострочка
Cпоживчий кредит без довiдки про доходи;16163,79;Харків;Жінка;Одружений (-на);12;Вища освіта;виробництво;10000;3;Ні;Офіційно працевлаштований;729;рак;Змея;40; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;16163,79;Харківська область;Жінка;Розлучений (-на);27;Вища освіта;державна служба;6000;1;Ні;Офіційно працевлаштований;547;овен;Крыса;45; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;3112,03;Черкаська область;Жінка;Розлучений (-на);10;Середня - технічна;інша;5200;6;Так;Офіційно працевлаштований;364;водолей;Кролик;30; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10373,44;Херсонська область;Чоловік;Одружений (-на);10;Середня - технічна;торгівля та послуги;7500;6;Так;Офіційно працевлаштований;364;весы;Лошадь;26; була зміна місця роботи;не має власної нерухомості;має власний автомобіль;есть прострочка
"Споживчий кредит ""Лояльний""";99299,07;Харківська область;Жінка;Одружений (-на);32;Вища освіта;інша;15724;6;Так;Офіційно працевлаштований;1459;весы;Тигр;54; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Споживчий кредит з довiдкою про доходи;33632,29;Харківська область;Чоловік;Одружений (-на);15;Вища освіта;фінансова;4940;1;Ні;Офіційно працевлаштований;1095;стрелец;Коза;37; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Споживчий кредит з довiдкою про доходи;33878,5;Київ;Жінка;Одружений (-на);8;Вища освіта;будівництво;18676;14;Так;Офіційно працевлаштований;1459;весы;Змея;27; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;20746,89;Кіровоградська область;Чоловік;Одружений (-на);3;Вища освіта;державна служба;10000;2;Так;Офіційно працевлаштований;364;водолей;Собака;23; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;22821,58;Харківська область;Чоловік;Одружений (-на);32;Середня - технічна;торгівля та послуги;10500;0;Ні;Офіційно працевлаштований;364;рыбы;Обезьяна;61; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
