"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"752";0,417357188618398;16;0;4;-0,319506090703868;0;5;0,639955013067868;-0,421641485732825;1;4;0,873836431389973;2;9;-0,51080833780258;0;0;1;1
"754";0,298866758833552;13;1;3;-1,29541940774592;0;3;0,135783909766988;-0,859807237634891;0;1;-1,25992952737276;2;9;-1,41516066203258;1;1;1;1
"755";0,417357188618398;7;0;4;-0,644810529717887;0;1;-0,0882921361445145;0,454690018071308;1;1;0,879690384637608;5;5;-0,586171031488413;1;0;1;1
"756";0,0508315850075738;14;0;4;-0,319506090703868;0;3;-0,480425216489644;-0,421641485732825;1;1;-0,194510036303304;4;3;-0,284720256745079;0;1;1;1
"757";0,35581382656634;13;1;3;-1,37674551749943;0;1;-0,14431114762239;-1,29797298953696;0;1;-0,194510036303304;4;9;-1,41516066203258;1;1;1;1
"758";-0,816784063056105;4;1;4;-1,21409329799242;4;5;-0,536444227967519;-0,421641485732825;0;1;-1,25992952737276;8;8;-1,26443527466092;0;0;1;0
"759";-0,99293987307265;7;1;5;0,575081116584683;0;2;-0,480425216489644;0,0165242661692412;1;1;-1,79263927290749;3;8;0,468906680113257;1;0;1;1
"760";-0,559131766017761;14;1;4;-0,726136639471391;5;3;-0,682093657809996;-0,421641485732825;1;1;-0,194510036303304;1;5;-0,661533725174247;0;0;1;1
"761";-0,681124323013608;17;1;4;0,16845056781716;5;2;-0,715705064696721;0,892855769973374;0;1;-0,194510036303304;3;0;1,97616055382993;0;0;1;0
"762";-0,758065837081322;13;0;3;0,0871244580636551;5;3;-0,665848144481412;-0,859807237634891;0;0;-1,25992952737276;1;10;1,29789631065743;0;1;1;1
