LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Consumer loan without income certificate;5387,93;Kharkiv;F;Одружений (-на);30;Середня;державна служба;3300;1;Ні;Офіційно працевлаштований;728;рыбы;Тигр;55; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;7847,53;Kharkiv region;F;Одружений (-на);21;Середня;торгівля та послуги;8200;4;Так;Офіційно працевлаштований;1095;близнецы;Коза;38; не змінювалось місце роботи;не має власної нерухомості;не має власного;Yes
Loan Consumer Credit;13789,24;Sumy region;M;Одружений (-на);35;Середня;виробництво;5200;5;Так;Офіційно працевлаштований;1095;стрелец;Дракон;64; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;21551,72;Cherkasy region;M;Неодружений(-на);2;Вища освіта;інша;5000;4;Так;ФОП;545;рак;Крыса;21; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;28026,91;Poltava region;M;Одружений (-на);17;Середня - технічна;виробництво;8000;5;Так;Офіційно працевлаштований;1095;рак;Лошадь;39; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5186,72;Kharkiv region;F;Розлучений (-на);41;Середня - технічна;інша;3000;1;Так;Не працює;364;весы;Крыса;68; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;28026,91;Dnipropetrovsk region;M;Неодружений(-на);8;Вища освіта;інша;11000;4;Так;Офіційно працевлаштований;1095;весы;Лошадь;26; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;7261,41;Kharkiv region;F;Одружений (-на);40;Середня - технічна;інша;2541,62;0;Ні;Не працює;364;стрелец;Кролик;65; була зміна місця роботи;не має власної нерухомості;не має власного;No
Consumer loan with income statement;46728,97;Cherkasy region;M;Одружений (-на);37;Вища освіта;державна служба;22725,94;4;Так;Офіційно працевлаштований;1460;рак;Петух;60; була зміна місця роботи;має власну нерухомість;має власний автомобіль;No
Consumer loan without income certificate;26939,66;Kharkiv;M;Неодружений(-на);20;Середня;інша;12000;6;Так;Офіційно працевлаштований;729;скорпион;Змея;39; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;28026,91;Dnipropetrovsk region;F;Розлучений (-на);10;Середня - технічна;державна служба;8500;3;Так;Офіційно працевлаштований;1095;весы;Обезьяна;36; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;21551,72;Kharkiv;F;Одружений (-на);12;Вища освіта;торгівля та послуги;5000;1;Так;Офіційно працевлаштований;543;овен;Тигр;31; не змінювалось місце роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;10089,69;Kharkiv region;F;Одружений (-на);17;Середня - технічна;інша;3200;2;Так;Офіційно працевлаштований;1095;близнецы;Собака;47; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;15560,17;Sumy region;F;Одружений (-на);1;Середня - технічна;виробництво;5000;1;Так;Офіційно працевлаштований;364;скорпион;Обезьяна;24; не змінювалось місце роботи;не має власної нерухомості;не має власного;No
Loan Consumer Credit;3112,03;Kharkiv region;M;Неодружений(-на);23;Вища освіта;інша;2800;3;Так;Не працює;364;рак;Лошадь;63; була зміна місця роботи;має власну нерухомість;має власний автомобіль;No
Consumer loan without income certificate;24784,48;Kharkiv region;F;Одружений (-на);25;Середня - технічна;торгівля та послуги;6400;2;Так;Офіційно працевлаштований;729;весы;Обезьяна;48; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;22421,52;Khmelnytsky region;F;Одружений (-на);6;Середня;торгівля та послуги;15000;2;Так;ФОП;1095;скорпион;Свинья;21; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;20852,02;Chernihiv region;M;Неодружений(-на);10;Незакінчена вища;торгівля та послуги;5300;2;Ні;Офіційно працевлаштований;1095;овен;Крыса;33; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;2593,36;Kharkiv;M;Одружений (-на);37;Середня - технічна;інша;3812,19;7;Так;Офіційно працевлаштований;364;козерог;Змея;52; була зміна місця роботи;не має власної нерухомості;не має власного;No
Loan Consumer Credit;5387,93;Kharkiv region;F;Вдова (-ець);37;Вища освіта;інша;3390;2;Так;Офіційно працевлаштований;729;водолей;Лошадь;63; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;1037,34;Khmelnytsky region;F;Вдова (-ець);40;Середня;інша;3600;6;Так;Офіційно працевлаштований;179;рыбы;Собака;59; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;28026,91;Kiev;F;Одружений (-на);20;Вища освіта;інша;7500;2;Так;Офіційно працевлаштований;1095;телец;Крыса;45; була зміна місця роботи;має власну нерухомість;не має власного;Yes
